"","iso3c","discvsly_pp_low","discvsly_pp_med","discvsly_pp_high"
"147","SRB",6403.96566410405,7554.47927268252,8793.40351354768
"148","SSD",0,0,0
"149","STP",1127.90222916145,1362.66793422377,1913.75567224437
"150","SUR",2804.67805904295,3224.3472291008,3419.46585334088
"151","SVK",14483.0821066269,17093.1780976707,18433.8846832675
"152","SVN",22173.0505155087,24716.506154033,27669.439197107
"153","SWE",28430.082811981,32150.3241153202,36929.4559843428
"154","SWZ",886.539934020653,1070.1393748429,1250.7456535131
"155","SYC",4836.70993236494,6204.29388042251,8185.34990132476
"156","SYR",134.224884475581,172.05490521714,215.956746830365
"157","TCD",324.942156956579,445.72449213118,545.708407804162
"158","TGO",445.08554763448,481.957048017554,524.631581919792
"159","THA",4610.04237893835,5696.92992128238,6652.4886573089
"160","TJK",207.777000498383,296.912009105064,373.524411479907
"161","TKM",NA,NA,NA
"162","TLS",1065.09975474564,1172.2849300786,1233.05115132898
"163","TTO",8354.78682583068,9929.65463322725,12108.6484339791
"164","TUN",1395.41452793521,1610.36534605144,1803.54904835819
"165","TUR",4980.90838372339,5808.08079642534,6404.16351626696
"166","TZA",331.646669911417,450.530438434692,535.103002595775
"167","UGA",859.078929330275,992.96572736657,1068.72895423921
"168","UKR",2812.30661625407,3330.55601582675,3798.50049106616
"169","URY",15802.0389149488,21395.5141992236,26355.546518378
"170","USA",52348.2812081964,57317.0595320331,62360.6517353303
"171","UZB",464.736884195243,647.513061084015,802.93341027568
"172","VCT",2913.85678426869,4031.38096432271,7388.85195387594
"173","VEN",0,0,0
"174","VNM",2226.73095600787,2715.63249952919,3329.62455091627
"175","VUT",2.8318505686634,17.7444240981713,940.058655319314
"176","YEM",0,0,0
"177","ZAF",2608.6982912772,3217.80375398742,3896.23274131688
"178","ZMB",483.840462805685,569.619182204115,633.66089510379
"179","ZWE",438.204879453647,501.499346878285,570.155565192941
