"","iso3c","vsly_disc_pgdp_low","vsly_disc_pgdp_med","vsly_disc_pgdp_high"
"139","SAU",27.1803196346201,30.2424735537395,34.085300897519
"140","SDN",0.934895378247918,1.26658900997582,1.61692310478319
"141","SEN",2.80003068819944,3.21776665513253,3.60314749333069
"142","SGP",122.72934487541,147.675384244376,154.221179113819
"143","SLB",0.177283019020224,2.3490894094053,10.3551391205035
"144","SLE",1.35200402538259,2.00248906044985,2.44023692680804
"145","SLV",22.8663840647936,26.7923820106641,28.4399048760288
"146","SOM",1.04770961446882,1.19267761150002,1.34151081130894
"147","SRB",40.681537920576,47.9902377872658,55.8605709728402
"148","SSD",NA,NA,NA
"149","STP",10.2121175171773,12.3377050965917,17.3272978090078
"150","SUR",19.8387288441579,22.8072345670114,24.1873949266874
"151","SVK",31.0174622844882,36.6073328220621,39.4786357427496
"152","SVN",41.7997739353976,46.594597752295,52.1613524737767
"153","SWE",31.809786869369,35.9722820595685,41.3195463352165
"154","SWZ",4.98652193208809,6.01921386535176,7.03507015687535
"155","SYC",28.5506058693083,36.62331455769,48.3172863791807
"156","SYR",0.845629603004067,1.08396234991837,1.36054814874089
"157","TCD",0.198643945648709,0.272480716625009,0.333602978189066
"158","TGO",3.84808859237164,4.16686955652969,4.53582197021003
"159","THA",39.1567397225928,48.3885361151229,56.5048529817927
"160","TJK",5.82268312176408,8.32057706059037,10.4675410708311
"161","TKM",9.64308266958638,14.2115536554314,17.2832400601698
"162","TLS",12.1761469940591,13.4014805317141,14.0961557852963
"163","TTO",24.3766944787509,28.9716736428673,35.3293063699882
"164","TUN",15.8891893737567,18.3367733616821,20.5365013768528
"165","TUR",30.542224875069,35.6143289759501,39.2694238042425
"166","TZA",0.505588069587162,0.686823765543295,0.81575278348175
"167","UGA",2.64447223718919,3.05661122494105,3.28983048247861
"168","UKR",17.0032321942749,20.1365729276601,22.9657696164343
"169","URY",69.0899073908941,93.5457824500432,115.232108843154
"170","USA",44.6334053339617,48.8699054028061,53.1701935871243
"171","UZB",7.21080426037925,10.0467384842953,12.458222819225
"172","VCT",8.11595146733718,11.2285862604609,20.5801342676652
"173","VEN",NA,NA,NA
"174","VNM",33.191235765896,40.478710866354,49.6307617151512
"175","VUT",0.0136534780913392,0.0855529272443791,4.53239672919395
"176","YEM",NA,NA,NA
"177","ZAF",8.98782269570811,11.0863911350451,13.4238018927915
"178","ZMB",1.52902710426113,1.80010403356227,2.00248792320037
"179","ZWE",5.26692489863106,6.02768138961322,6.85288248307929
